name,weighted_pv
生見愛瑠,85109.4357950702
生駒里奈,72455.62770699526
田中みな実,57791.67529100392
田中卓志,60397.65249941435
田中圭,61559.88265779742
田中将大,96692.29001581788
田中律子,23539.86594978325
田中直樹_(お笑い芸人),16980.03643020208
田中美佐子,22342.141453605556
田中裕二,4617.6695087875505
田中要次,12961.823566787769
田中道子,83762.3458208223
田中麗奈,18682.08833558575
田村淳,34747.8551936846
田辺桃子,44018.761481551
田辺誠一,33123.058096716595
田鍋梨々花,3314.027263428588
町田啓太,128298.7630487189
當真あみ,88538.13136549045
白濱亜嵐,27255.82937950037
白石美帆,17931.311252927837
白石聖,31798.190069457076
白石麻衣,48165.45338899788
百田夏菜子,60778.592218852194
的場浩司,16934.809603376594
皆藤愛子,41849.17355710565
益若つばさ,16179.419290808479
目黒蓮,427848.6435063954
相武紗季,29455.62351601243
相葉雅紀,44324.85458072166
眞島秀和,36111.263834368154
眞栄田郷敦,128479.3452068516
眞鍋かをり,26625.079886080308
真木よう子,48097.54888888897
真矢ミキ,23695.178005672973
真飛聖,66447.44861233312
矢作穂香,31728.6303728833
矢本悠馬,23914.225309990437
矢沢永吉,60462.53198789936
矢田亜希子,48372.042807535785
矢部浩之,22286.65009835807
知念侑李,25959.47671379534
知花くらら,11220.905787549342
石丸幹二,22824.436199527365
石井杏奈_(E-girls),31520.19881683817
石原さとみ,68223.30479357777
石原良純,25780.23493277801
石塚英彦,13786.774618445519
石川恋,30745.386491076686
石橋貴明,39955.532460357375
石橋静河,88535.50725360942
石田ひかり,34638.043474807855
石田ゆり子,58219.25014764585
石田ニコル,12757.807072723315
石野真子,28737.42294506659
磯山さやか,30821.79058900814
磯村勇斗,50903.02306380645
磯野貴理子,18579.007921513705
神宮寺勇太,64559.51903370591
神尾楓珠,70914.11364591206
神木隆之介,65643.38790841031
神田正輝,19358.428292183675
祷キララ,7752.263554433998
福原遥,240961.6934167901
福地桃子,76214.35319262304
福士蒼汰,38178.322851556535
福山雅治,117404.14760260726
福本莉子,55823.5918673662
福澤朗,10029.689073134246
秋元梢,19944.709262130706
秋山竜次,22166.95612303811
秋田汐梨,10061.66383231036
稲垣吾郎,25430.061354610843
稲森いずみ,32642.21970496651
稲葉友,22799.143738765088
窪田正孝,43509.069324331795
竜星涼,103530.8530127613
竹下景子,18312.798235296174
竹中直人,21606.38593928658
竹内涼真,60463.55219780341
竹野内豊,56068.5236395075
笑福亭鶴瓶,41548.00187077039
笛木優子,18289.931665616383
笠松将,26276.592765120753
笹野高史,22996.702363798788
筧利夫,21354.324471764063
筧美和子,36272.895803118525
箭内夢菜,58433.77157533386
篠原涼子,77812.3553021859
米倉れいあ,3700.484321832301
米倉涼子,40278.541700399255
紗栄子,41270.92132126056
細田佳央太,27067.772914507805
紺野まひる,21101.592922768665
紺野彩夏,32622.025602437472
紺野美沙子,15649.921459780957
結木滉星,102047.39986654969
綾瀬はるか,80595.43547676278
綾野剛,70893.27957065015
織田裕二,29498.19240008411
美村里江,44472.135199692464
羽生結弦,54831.22104153939
羽田美智子,24089.206608039967
羽鳥慎一,36563.36104762649
臼田あさ美,22340.59234682301
舘ひろし,33820.93039752823
船越英一郎,23076.62844573702
芋生悠,14191.31362791618
芦田愛菜,109583.97060369723
芳根京子,53782.92277952366
若月佑美,25330.83611116666
若村麻由美,46719.01935012192
若林正恭,35560.00735896629
