name,fame_pct,popularity_pct
Rowse Honey,71,40
Lonsdale,89,39
Topman,84,39
Tracker Chocolate Chip Bar,68,39
First Direct,79,39
Renault,99,39
Little Chef,88,39
Twiglets,93,39
Tia Maria,79,39
Dolce & Gabbana,88,39
Revlon,81,39
Robert Dyas,72,39
Slug and Lettuce,88,39
Bulmers,84,39
Yorkshire Building Society,83,39
Carling,93,39
GAME,79,39
The Health Lottery,90,39
Kronenbourg 1664,89,39
Rubicon,73,39
Barbour,76,39
French Connection,92,39
Smeg,72,39
The Entertainer,69,39
Edinburgh Woollen Mill,68,39
Vision Express,91,39
Green Flag,80,39
Pret a Manger,90,39
Echo Falls,70,39
Jewson,83,39
Refresher,88,39
Archers,77,39
Cadbury Bliss Hazelnut Truffle,66,39
Skittles Sour,89,39
Budweiser,92,39
L’Occitane,72,39
Whirlpool,77,38
Zanussi,73,38
Deichmann,70,38
Grey Goose,72,38
P&O Ferries,91,38
Ministry of Sound,89,38
Argos Store Card,94,38
Stork,85,38
Just Brazils Dark Chocolate,70,38
Jo Malone,72,38
Lipton Ice Tea,97,38
Berghaus,72,38
Michael Kors,75,38
Burberry,93,38
Sekonda,78,38
Rimmel London,88,38
Appletiser,78,38
AXA,87,38
Laura Ashley,83,38
Just Juice,66,38
Peugeot,96,38
Miss Selfridge,88,38
Harvey Nichols,88,38
Best Western,76,38
Hubba Bubba,88,38
Beko,77,38
Cointreau,76,38
Cobra,76,38
Bank of Scotland,97,38
Costcutter,88,38
Jelly Snakes,89,38
Starbucks,99,38
Foster's,89,38
Newcastle Brown Ale,83,38
Amstel,82,37
Benecol,82,37
American Express,98,37
Paperchase,69,37
Sky Go,71,37
Glenfiddich,74,37
Walkers Pickled Onion,80,37
Fiat,97,37
Charlotte Tilbury,66,37
No 7 Makeup,84,37
Cathay Pacific,74,37
Bombay Sapphire,73,37
Pirelli,83,37
BP,92,37
Wrigley's Airwaves,76,37
Citroën,94,37
Elvive,73,37
Jacob's Creek,72,37
Ted Baker,88,37
The White Company,64,37
Royal Bank of Scotland,93,37
Butlins,90,37
Sol,77,37
Ibis,83,37
Aberdeen Angus Steakhouse,71,37
Jet2holidays,91,37
Fat Face,80,37
Shloer,67,36
Canada Goose,69,36
Bridgestone,59,36
Drambuie,73,36
Nisa,81,36
Dunkin',74,36
Direct Line,96,36
Apple Watch,93,36
CeX,64,36
Churcill,81,36
Admiral,83,36
Jean-Paul Gaultier,84,36
Oak Furnitureland,81,36
Scottish Widows,83,36
Norton Motorcycle Company,54,36
Oasis,79,36
Parma Violets,86,36
Victoria's Secret,89,36
Boeing,88,36
Network Rail,94,36
Rekorderlig,56,36
Birkenstock,67,36
Tetley's Brewery,76,36
Sandals,63,36
Elizabeth Arden,84,36
Esso,97,36
Lee,65,36
DKNY,86,35
One Stop,66,35
Jimmy Choo,91,35
Budgens,72,35
Fuller's,68,35
Clarins for Men,63,35
Maybelline,83,35
Red Bull,100,35
Morrisons Petrol,86,35
Johnnie Walker,78,35
Café Rouge,73,35
Yorkshire Bank,74,35
Carphone Warehouse,93,35
Hendrick's,62,35
Goldsmiths,73,35
Londis,92,35
Maltesers White,83,35
Wheat Crunchies,70,35
Singapore Airlines,78,35
Brittany Ferries,73,35
Ask Italian,61,35
Hastings Direct,80,35
Greene King,73,35
Ryman,70,35
Versace,85,35
Hasbro,74,35
SEAT,95,34
Lush,74,34
Stella McCartney,84,34
Lufthansa,71,34
Tiger Beer,62,34
Aussie,57,34
Mentos Gum – Fruit,78,34
Dobbies Garden Centres,64,34
Planet Hollywood,76,34
Google Home,82,34
First Choice,68,34
Churchill,85,34
Sainsbury’s Caledonian,68,34
Millie's Cookies,65,34
Abbot Ale,60,34
Hermès,79,34
Baskin-Robbins Ice Cream,56,34
Linda McCartney Foods,84,34
Accessorize,82,34
Air France,88,34
Ducati,74,34
Cheestrings,78,34
Tom Ford,63,34
Ritter Sport Alpine Milk Chocolate,63,34
Cockburn's Port,57,34
Clairol Nice 'N Easy,58,34
Air Canada,82,34
Panini,67,34
Jägermeister,86,34
Peacocks,89,34
Disaronno Amaretto,63,34
Loyd Grossman Sauces,86,34
Vistaprint,76,34
Cunard Line,67,34
Radley,59,34
Norwich Union,86,34
Lyons,72,34
Unilever,84,34
Hoseasons,72,34
Prezzo,78,34
MG,88,34
Dixons,87,34
Bulldog,69,33
Tortilla,58,33
Urban Outfitters,74,33
Pfizer,93,33
Ritter Sport Butter Biscuits,62,33
West Cornwall Pasty Co.,53,33
TGI Friday's,94,33
Boddingtons,79,33
Prudential,79,33
TomTom,71,33
John Smith's,77,33
Lastminute.com,74,33
Quorn,93,33
Morgan,55,33
Miller & Carter,68,33
Paul Smith,69,33
Miller,64,33
Dole,60,33
Grant's,71,33
Electronic Arts,63,33
Ritter Sport Whole Hazelnuts,68,33
Belvita Yoghurt Breakfast Biscuit,81,33
Go Ahead,63,33
Texaco,87,33
Whittard of Chelsea,57,33
Peloton,74,33
Monsoon,82,33
Yoplait,65,33
Saga,78,33
Jack Wills,71,33
Radisson,62,33
Flora pro.activ,76,33
Crowne Plaza,64,33
Yazoo,82,33
Jaeger,77,33
Shoe Zone,84,33
Co-operative Insurance,91,33
AstraZeneca,79,32
Hi-Tec,73,32
Bench,67,32
Footasylum,65,32
Sodastream,84,32
Barbie,94,32
Copella,50,32
Beefeater Grill,86,32
Crabbies,61,32
Subaru,85,32
Nairn's Cheese Oatcakes,68,32
Tanqueray,54,32
Dune,62,32
Ernest Jones,74,32
Nestlé Pure Life,74,32
Swiss International Air Lines,67,32
Karen Millen,72,32
Bonmarché,81,32
Smint,61,32
Xbox Game Studios,72,32
Saab,83,32
Monzo,70,32
Electrolux,77,32
PayPoint,80,32
Logitech,71,32
Haven Holidays,84,32
Wall's (meats),62,32
Gatwick Express,58,32
Etihad Airways,72,32
Casillero del Diablo,62,32
