name,人気度変化,知名度変化,スコア,ニュース数,positive数,negative数,202208人気度,202208知名度,202302人気度,202302知名度
玉山鉄二,-0.5,2.0999999999999943,0,62,0,0,11.5,65.5,11,67.6
田村淳,-2.0,0.9000000000000057,0,201,0,0,19.5,92.6,17.5,93.5
タモリ,-2.700000000000003,0.0,0,210,0,0,42.7,96.6,40,96.6
知念侑李,-0.9000000000000004,0.7000000000000028,0,93,0,0,9,64.8,8.1,65.5
千葉雄大,-2.8000000000000007,1.7000000000000028,0,202,0,0,18.6,73.5,15.8,75.2
千原ジュニア,-1.0,0.0,0,210,0,0,18.9,93.8,17.9,93.8
塚地武雅,6.100000000000001,2.799999999999997,0,76,0,0,15,88,21.1,90.8
塚本高史,-0.5,2.1000000000000085,0,64,0,0,8.1,64.1,7.6,66.2
津田寛治,0.39999999999999947,1.6000000000000014,0,67,0,0,6.7,53.8,7.1,55.4
津田健次郎,2.9000000000000004,11.000000000000004,0,201,0,0,9,24.2,11.9,35.2
土田晃之,-2.5,0.5,0,76,0,0,17.2,89.9,14.7,90.4
堤真一,0.29999999999999716,0.9000000000000057,0,126,0,0,37,90.1,37.3,91
妻夫木聡,4.799999999999997,3.0,0,210,0,0,29,87.1,33.8,90.1
つるの剛士,0.9000000000000004,1.0999999999999943,0,210,0,0,9.9,89.9,10.8,91
ディーン・フジオカ,1.6000000000000014,0.7000000000000028,0,210,0,0,20.5,86.2,22.1,86.9
出川哲朗,3.200000000000003,0.5,0,176,0,0,39.8,97.2,43,97.7
寺島進,0.6999999999999993,2.0,0,72,0,0,20.2,82.1,20.9,84.1
寺田心,0.20000000000000107,-1.7000000000000028,0,183,0,0,12.7,87.4,12.9,85.7
寺脇康文,2.3000000000000007,4.1000000000000085,0,115,0,0,17.3,76.6,19.6,80.7
でんでん,1.4000000000000004,5.5,0,71,0,0,6.9,58.2,8.3,63.7
堂本光一,-0.5,1.2000000000000028,0,178,0,0,21.9,88.5,21.4,89.7
堂本剛,-0.5999999999999979,0.5,0,182,0,0,22.7,88.5,22.1,89
所ジョージ,-6.200000000000003,-1.5,0,210,0,0,47.6,98.1,41.4,96.6
トータス松本,-0.7000000000000011,4.3999999999999915,0,59,0,0,14.9,72.9,14.2,77.3
戸塚純貴,-1.6,0.0,0,69,0,0,3.9,19.6,2.3,19.6
戸次重幸,-1.6999999999999993,-0.5,0,72,0,0,12,51.5,10.3,51
豊川悦司,1.1000000000000014,4.299999999999997,0,146,0,0,18.4,77.5,19.5,81.8
内藤剛志,-1.3999999999999986,2.0999999999999943,0,74,0,0,20.7,83.4,19.3,85.5
中井貴一,1.8000000000000007,4.199999999999989,0,176,0,0,25.3,83.4,27.1,87.6
中居正広,3.5,0.4000000000000057,0,208,0,0,29.4,96.8,32.9,97.2
中尾明慶,3.9000000000000004,5.1000000000000085,0,178,0,0,12.6,75.6,16.5,80.7
中川大志,5.300000000000001,9.399999999999999,0,210,0,0,15.8,61.9,21.1,71.3
長嶋一茂,-0.29999999999999893,2.0,0,186,0,0,15.2,92.2,14.9,94.2
中島健人,0.6000000000000014,1.5999999999999943,0,210,0,0,18.2,75.2,18.8,76.8
中島裕翔,0.5,2.0999999999999943,0,180,0,0,12.6,55.2,13.1,57.3
永瀬正敏,0.9000000000000004,1.8000000000000043,0,65,0,0,5.8,60.9,6.7,62.7
永瀬廉,5.999999999999998,11.700000000000003,0,203,0,0,11.9,54.7,17.9,66.4
中田圭祐,0.40000000000000013,-1.9000000000000004,0,106,0,0,0.7,8.8,1.1,6.9
仲野太賀,-0.1999999999999993,1.2000000000000028,0,147,0,0,20.2,51.9,20,53.1
中丸雄一,-0.8999999999999986,2.5,0,159,0,0,23.9,81.9,23,84.4
中村勘九郎,-0.20000000000000018,1.7999999999999972,0,83,0,0,8,78.4,7.8,80.2
中村獅童,0.6999999999999993,4.5,0,174,0,0,9.4,85.1,10.1,89.6
中村俊介,-1.1000000000000005,-1.4000000000000057,0,119,0,0,6.9,66.5,5.8,65.1
仲村トオル,-1.3999999999999986,4.3999999999999915,0,180,0,0,24.4,80.7,23,85.1
中村倫也,-2.3000000000000007,3.700000000000003,0,186,0,0,28.3,77.2,26,80.9
中村隼人,-0.19999999999999996,5.700000000000001,0,196,0,0,0.7,13.6,0.5,19.3
